t,F
1.903916666999999961e+03,5.695739340910535908e+00
1.904000000000000000e+03,5.700200947138215568e+00
1.904083333000000039e+03,5.704672953225085941e+00
1.904166666999999961e+03,5.709156708538047909e+00
1.904250000000000000e+03,5.713649536922065231e+00
1.904333333000000039e+03,5.718152785069475996e+00
1.904416666999999961e+03,5.722667810280627876e+00
1.904500000000000000e+03,5.727191920443039486e+00
1.904583333000000039e+03,5.731726470181853550e+00
1.904666666999999961e+03,3.066851491282050191e+01
1.904750000000000000e+03,3.066690315089302388e+01
1.904833333000000039e+03,3.066529191089861683e+01
1.904916666999999961e+03,3.066368251639853071e+01
1.905000000000000000e+03,3.066207233088198336e+01
1.905083333000000039e+03,3.066046267702200012e+01
1.905166666999999961e+03,3.065885488101007894e+01
1.905250000000000000e+03,3.065724630104253379e+01
1.905333333000000039e+03,3.065563826242459911e+01
1.905416666999999961e+03,3.065403209396978568e+01
1.905500000000000000e+03,3.065242514859733447e+01
1.905583333000000039e+03,3.064744758453167250e+01
1.905666666999999961e+03,1.686984827552472055e+01
1.905750000000000000e+03,1.686881801357132460e+01
1.905833333000000039e+03,1.686779186974253619e+01
1.905916666999999961e+03,1.686677326608511152e+01
1.906000000000000000e+03,1.686575535809159021e+01
1.906083333000000039e+03,1.686474156782875511e+01
1.906166666999999961e+03,1.686373531727801733e+01
1.906250000000000000e+03,1.686272976206186769e+01
1.906333333000000039e+03,1.686172832418538547e+01
1.906416666999999961e+03,1.686073442556331869e+01
1.906500000000000000e+03,1.685974122195165847e+01
1.906583333000000039e+03,1.685875213528603922e+01
1.906666666999999961e+03,3.107370890763608173e+01
1.906750000000000000e+03,3.107613207784871179e+01
1.906833333000000039e+03,3.107855275802261374e+01
1.906916666999999961e+03,3.108097200865467613e+01
1.907000000000000000e+03,3.108338768951653819e+01
1.907083333000000039e+03,3.108580086275457788e+01
1.907166666999999961e+03,3.108821258390100795e+01
1.907250000000000000e+03,3.109062072263997223e+01
1.907333333000000039e+03,3.109302633615552125e+01
1.907416666999999961e+03,3.109543047500870117e+01
1.907500000000000000e+03,3.109783101881244605e+01
1.907583333000000039e+03,3.110022901978049248e+01
1.907666666999999961e+03,2.865367488871000035e+01
1.907750000000000000e+03,2.865374193922101753e+01
1.907833333000000039e+03,2.865381153202987718e+01
1.907916666999999961e+03,2.865388579205107789e+01
1.908000000000000000e+03,2.865396046908865912e+01
1.908083333000000039e+03,2.865403768807538754e+01
1.908166666999999961e+03,2.865411957384834452e+01
1.908250000000000000e+03,2.865420187634267890e+01
1.908333333000000039e+03,2.865428672041338487e+01
1.908416666999999961e+03,2.865437623081113117e+01
1.908500000000000000e+03,2.865446615761680249e+01
1.908583333000000039e+03,2.865455862560086331e+01
1.908666666999999961e+03,2.405724006249838354e+01
1.908750000000000000e+03,2.405855227716499556e+01
1.908833333000000039e+03,2.405675653230191458e+01
1.908916666999999961e+03,2.405806306995424748e+01
1.909000000000000000e+03,2.405626338430276689e+01
1.909083333000000039e+03,2.405756757659787226e+01
1.909166666999999961e+03,2.405576228518684800e+01
1.909250000000000000e+03,2.405706246596301057e+01
1.909333333000000039e+03,2.405525490149763002e+01
1.909416666999999961e+03,2.405654940481237247e+01
1.909500000000000000e+03,2.405473790247059540e+01
1.909583333000000039e+03,2.405603005976262310e+01
1.909666666999999961e+03,3.057055815764032403e+01
1.909750000000000000e+03,3.057094765263216729e+01
1.909833333000000039e+03,3.057133570072087991e+01
1.909916666999999961e+03,3.057172113822315396e+01
1.910000000000000000e+03,3.057210629421743775e+01
1.910083333000000039e+03,3.057249000487587409e+01
1.910166666999999961e+03,3.057287110692958265e+01
1.910250000000000000e+03,3.057325192861217644e+01
1.910333333000000039e+03,3.057363130651109273e+01
1.910416666999999961e+03,3.057400807776700447e+01
1.910500000000000000e+03,3.057438456977668295e+01
1.910583333000000039e+03,3.057475961953928234e+01
1.910666666999999961e+03,2.117583001467333403e+01
1.910750000000000000e+03,2.117476156612318405e+01
1.910833333000000039e+03,2.117369167486996417e+01
1.910916666999999961e+03,2.117261901585141359e+01
1.911000000000000000e+03,2.117154624112234274e+01
1.911083333000000039e+03,2.117047202545992945e+01
1.911166666999999961e+03,2.116926181362642012e+01
1.911250000000000000e+03,2.116818473619553842e+01
