year,F
1.918499999999964984e+03,-2.824898282969070351e+01
1.918583333333298242e+03,-2.305081180314470757e+01
1.918666666666631500e+03,-6.064104564580031109e+00
1.918749999999964757e+03,3.789987974833941564e+00
1.918833333333298015e+03,-7.658014423857071762e+00
1.918916666666631272e+03,-4.098598266430956016e+01
1.918999999999964530e+03,-3.987158295645971862e+01
1.919083333333297787e+03,-1.683353009099732489e+01
1.919166666666631045e+03,-2.630756095745635292e+01
1.919249999999964302e+03,-4.123496768129236045e+01
1.919333333333297560e+03,-2.723971691835018660e+01
1.919416666666630817e+03,-7.678317683104193492e+00
1.919499999999964075e+03,2.073617070421946096e+00
1.919583333333297333e+03,-3.537964616365719905e+00
1.919666666666630590e+03,-3.042399173011709834e+01
1.919749999999963848e+03,-3.056646999662426367e+01
1.919833333333297105e+03,-1.052874035066163749e+01
1.919916666666630363e+03,-2.187330412666510071e+01
1.919999999999963620e+03,-3.625581151736156471e+01
1.920083333333296878e+03,-2.222468457988002299e+01
1.920166666666630135e+03,-5.836481385076336181e+00
1.920249999999963393e+03,7.772760908640208299e-03
1.920333333333296650e+03,-4.622601282602412098e+00
1.920416666666629908e+03,-2.524979206104496399e+01
1.920499999999963165e+03,-2.490081039101841043e+01
1.920583333333296423e+03,-1.462446753747776107e+01
1.920666666666629681e+03,-3.335675318258904554e+01
1.920749999999962938e+03,-4.463251214009618195e+01
1.920833333333296196e+03,-2.816811645984140000e+01
1.920916666666629453e+03,-1.231394849643918477e+01
1.920999999999962711e+03,-5.219244066074082866e+00
1.921083333333295968e+03,-6.440533612033316757e+00
1.921166666666629226e+03,-2.313952338586845769e+01
1.921249999999962483e+03,-1.896212750420234272e+01
1.921333333333295741e+03,-6.076814951890874283e+00
1.921416666666628998e+03,-2.930126802768435823e+01
1.921499999999962256e+03,-4.456321721230040112e+01
1.921583333333295514e+03,-2.934058809839114090e+01
1.921666666666628771e+03,-1.500315310533374458e+01
1.921749999999962029e+03,-8.597301307713262730e+00
1.921833333333295286e+03,-9.057025657027871546e+00
1.921916666666628544e+03,-1.992056976981667660e+01
1.921999999999961801e+03,-1.330416024747295722e+01
1.922083333333295059e+03,-2.457556167266634617e+00
1.922166666666628316e+03,-2.704261549590582092e+01
1.922249999999961574e+03,-4.368679897637223064e+01
1.922333333333294831e+03,-2.812649354655258449e+01
1.922416666666628089e+03,-1.392555149740148579e+01
1.922499999999961346e+03,-1.191237751673230250e+01
1.922583333333294604e+03,-1.563074318888962999e+01
1.922666666666627862e+03,-2.032090757937111292e+01
1.922749999999961119e+03,-5.447174969235273778e+00
1.922833333333294377e+03,3.110427882774224884e+00
1.922916666666627634e+03,-3.078729460152497310e+01
1.922999999999960892e+03,-4.872671202178075589e+01
1.923083333333294149e+03,-3.055485645164367270e+01
1.923166666666627407e+03,-1.921393995063039384e+01
1.923249999999960664e+03,-2.196279405437507748e+01
1.923333333333293922e+03,-2.765469801240620029e+01
1.923416666666627179e+03,-2.412965646527642605e+01
1.923499999999960437e+03,-2.771080996696611010e-01
1.923583333333293695e+03,9.917610155888450407e+00
1.923666666666626952e+03,-2.494841454397802138e+01
1.923749999999960210e+03,-4.326072200027599024e+01
1.923833333333293467e+03,-2.120360463969692688e+01
1.923916666666626725e+03,-9.993371738380812275e+00
1.923999999999959982e+03,-2.098459058865370253e+01
1.924083333333293240e+03,-2.969307340962289032e+01
1.924166666666626497e+03,-1.892277095988769275e+01
1.924249999999959755e+03,6.308948717626666536e+00
1.924333333333293012e+03,7.922363849891841170e+00
1.924416666666626270e+03,-2.921102953980060590e+01
1.924499999999959527e+03,-4.033846615665460433e+01
1.924583333333292785e+03,-1.896100931411907808e+01
1.924666666666626043e+03,-1.989114240245645249e+01
1.924749999999959300e+03,-3.735496921806780080e+01
1.924833333333292558e+03,-4.173170598742153459e+01
1.924916666666625815e+03,-2.096291725731715871e+01
1.924999999999959073e+03,6.540965417624384770e+00
1.925083333333292330e+03,2.694618924274877259e+00
1.925166666666625588e+03,-3.221113903679504631e+01
1.925249999999958845e+03,-3.319995202746935092e+01
1.925333333333292103e+03,-4.669091328985073730e+00
1.925416666666625360e+03,-1.347007225592692592e+01
1.925499999999958618e+03,-4.101791367694670498e+01
1.925583333333291876e+03,-4.120847180938862664e+01
1.925666666666625133e+03,-1.344657726449174717e+01
1.925749999999958391e+03,7.840270095041567799e+00
1.925833333333291648e+03,-4.620687730491402689e+00
1.925916666666624906e+03,-3.152663295697061585e+01
1.925999999999958163e+03,-2.317264895674381364e+01
1.926083333333291421e+03,4.038045286832137037e-01
1.926166666666624678e+03,-1.863040595321264448e+01
1.926249999999957936e+03,-4.802544403842736642e+01
1.926333333333291193e+03,-4.022441083329531608e+01
1.926416666666624451e+03,-9.365893141269852507e+00
1.926499999999957708e+03,1.366603996717007163e+00
1.926583333333290966e+03,-1.811920904460532711e+01
1.926666666666624224e+03,-3.262937029489197016e+01
1.926749999999957481e+03,-1.011574535557181598e+01
